id_instancia,modelo,dataset,abordagem,status,status_avaliacao,resposta_final_extraida,referencia_curta,exact_match,numeric_match,symbolic_equivalence,answer_match_objetivo,answer_match,correta,metrica_objetiva,pontuacao_juiz,tipo_erro,confianca_juiz,truthfulness,informativeness,oracle_at_3,veredito_juiz_primario,veredito_juiz_posicao_reversa,veredito_juiz_secundario,human_veredito,human_truthfulness,human_informativeness,duracao_segundos,numero_chamadas_slm,input_tokens,output_tokens,total_tokens,tokens_per_second,model_total_duration_seconds,melhor_abordagem,ranking_abordagens,judge_model,secondary_judge_model,arquivo_origem
arc_0041,gemma4:e4b,ARC-Challenge,base,ok,ok,A,A,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,183.25,1,193,296,489,90.1254,23.691267,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,cot,ok,ok,A,A,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,156.53,1,210,502,712,90.1045,22.836334,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,gflow,ok,ok,A,A,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,163.4,3,626,1967,2593,89.5138,72.88931,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,for,ok,ok,A,A,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,131.0,1,291,771,1062,89.3709,23.726247,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,base,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,148.85,1,236,378,614,89.7549,20.695608,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,cot,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,137.74,1,253,545,798,89.4924,21.352281,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,gflow,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,171.3,3,755,1897,2652,89.5606,76.311664,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,for,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,152.68,1,334,700,1034,89.2866,21.421411,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,base,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,15.69,1,200,181,381,89.4527,15.67601,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,cot,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,20.04,1,217,385,602,90.424,20.023283,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,gflow,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,90.31,3,647,1332,1979,89.527,74.875716,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,for,ok,ok,B,B,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,33.88,1,298,573,871,90.2046,18.193027,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,base,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,164.23,1,310,296,606,88.7109,31.675191,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,cot,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,173.65,1,327,526,853,89.5665,18.558226,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,gflow,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,190.07,3,977,1660,2637,89.5085,87.392166,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,for,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,187.09,1,408,1057,1465,89.0285,25.021809,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,base,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,167.04,1,181,231,412,89.5117,24.134165,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,cot,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,150.76,1,198,339,537,89.6948,22.620173,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,gflow,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,147.08,3,590,920,1510,90.07,68.298477,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,for,ok,ok,C,C,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,135.64,1,279,674,953,89.3642,24.059591,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,base,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,37.31,1,215,301,516,90.1761,17.277433,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,cot,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,46.7,1,232,475,707,90.0625,19.266326,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,gflow,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,145.92,3,692,1593,2285,89.6353,77.576888,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,for,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,150.28,1,313,820,1133,89.4045,28.84144,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,base,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,159.71,1,239,314,553,88.9174,34.180137,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,cot,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,143.21,1,256,442,698,89.2344,27.914153,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,gflow,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,1,1,1,,,,,175.78,3,764,1606,2370,89.2169,79.918166,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,for,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,178.84,1,337,858,1195,88.7061,24.654851,empate,"[""base"", ""cot"", ""for"", ""gflow""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,base,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,159.96,1,231,308,539,89.34,26.679924,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,cot,ok,ok,D,D,1,,,1,1,1,multiple_choice_match,1.0,nenhum,1.0,,,,1,1,,,,,159.15,1,248,508,756,89.2499,23.563959,empate,"[""base"", ""cot"", ""gflow"", ""for""]",z-ai/glm-5.2,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
